,Train,2010
0,Total U.S.-Mexican border,7667
1,Total top 5 gateways,7198
2,"Laredo, TX",3036
3,"Eagle Pass, TX",2012
4,"El Paso, TX",1046
5,"Nogales, AZ",602
6,"Brownsville, TX",502
