,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014,2015
0,Number of aircraft,2135,2125,2679,2495,3808,4678,6083,6054,7320,7297,7370,7411,7478,7616,8111,8228,8055,8497,8194,8176,8186,8225,8089,8044,7856,U,U,U,U,U,U,U
1,Average miles flown per aircraft (thousands),487,667,949,808,768,736,777,770,669,701,726,759,782,791,766,796,862,801,834,901,978,1003,1016,1046,1036,U,U,U,U,U,U,U
2,Aircraft-miles (millions),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
3,Domestic operations,858,1134,2068,1638,2276,3026,3963,3854,3995,4156,4378,4628,4807,4907,5030,5326,5662,5545,5613,6106,6602,6716,6606,6733,6446,5935,5976,6005,5956,5965,5947,6046
4,International operations,182,284,475,334,334,415,760,807,904,958,975,998,1043,1114,1186,1225,1282,1264,1222,1261,1403,1536,1615,1682,1696,1599,1690,1778,1770,1758,1790,1824
5,Fuel consumption (million gallons),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
6,Domestic operations,1954,3889,7857,7558,8519,10115,12212,11360,11598,11960,12501,12812,13187,13658,13303,14491,13904,13112,12287,12417,13380,13284,13019,12999,12469,11147,11057,10828,10238,10156,10293,10741
7,International operations,566,1280,2243,1949,1747,2488,3938,3888,4079,4112,4325,4511,4658,4962,4915,5277,5123,4956,4572,4451,4765,5040,5220,5428,5509,5087,5247,5521,5621,5749,5900,5988
8,Aircraft-miles flown per gallon,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
9,Domestic operations,0.44,0.29,0.26,0.22,0.27,0.30,0.32,0.34,0.34,0.35,0.35,0.36,0.36,0.36,0.38,0.37,0.41,0.42,0.46,0.49,0.49,0.51,0.51,0.52,0.52,0.53,0.54,0.55,0.58,0.59,0.58,0.56
10,International operations,0.32,0.22,0.21,0.17,0.19,0.17,0.19,0.21,0.22,0.23,0.23,0.22,0.22,0.22,0.24,0.23,0.25,0.25,0.27,0.28,0.29,0.30,0.31,0.31,0.31,0.31,0.32,0.32,0.31,0.31,0.30,0.30
