,Â,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,TOTAL U.S. ton-miles of freight,4172989,4132385,4010592,4112419,4227617,4221461,4280091,4459963,4606023,4577594,4655432,4676163,4805060,4858768,5089119,5288639,5394429,5444841,5463709,5482577,5501444,5520312,5539180,5579251,5619322,5659393,5699463,5739534,5998009,5468001,5689672,5899165
1,Air,4528,4658,4476,5055,5493,5156,6356,7589,8169,8954,9064,8860,9820,10675,11803,12520,12861,13601,13840,14202,14983,13069,13370,15231,16451,15745,15361,15141,13774,12027,12541,12134
2,Truck,1266631,1269094,1300864,1355837,1421966,1441906,1478928,1558806,1610977,1666597,1707373,1745913,1790756,1866690,1987270,2080039,2136184,2233950,2273588,2297372,2326524,2362063,2427693,2478740,2427170,2453347,2405811,2495786,2752658,2449509,2512429,2643567
3,Railroad,932000,924000,810000,841000,900091,876209,891235,951940,1025683,1045628,1064408,1041929,1098379,1135016,1221073,1317010,1377095,1391089,1448352,1503665,1546319,1599332,1605532,1603564,1683895,1733324,1855897,1819626,1729734,1582092,1706505,1725634
4,Domestic water transportation,921835,929413,886469,919566,887719,892971,873401,895415,890029,815550,833544,848399,856685,789658,814919,807728,764687,707410,672795,655862,645799,621686,612080,606146,621170,591277,561629,553151,520521,477122,502212,499748
5,Coastwise,631149,634765,632707,649750,593923,610977,580889,586818,561595,483889,479134,502133,502311,448404,457601,440345,408086,349843,314864,292730,283872,274559,263688,278919,279857,263464,227155,228052,207877,196290,192348,180212
6,Lakewise,61747,62148,35623,43088,49784,48184,43198,50077,58160,58308,60930,55339,55785,56438,58263,59704,58335,62166,61654,57045,57879,50854,53653,47539,55733,51924,53105,51893,50263,33509,45346,49079
7,Internal,227343,231184,217027,225628,242855,232708,248117,257336,269036,272157,292393,289959,297639,283894,297762,306329,296791,294023,294896,304724,302558,294861,293410,278352,284096,274367,279778,271617,260960,244995,263242,269192
8,Intraport,1596,1316,1112,1100,1157,1102,1197,1184,1238,1196,1087,968,950,922,1293,1350,1475,1378,1381,1362,1490,1413,1329,1336,1484,1521,1591,1589,1421,2327,1277,1265
9,Pipeline,1047995,1005219,1008784,990961,1012349,1005219,1030172,1046212,1071165,1040865,1041044,1031063,1049420,1056728,1054054,1071343,1103602,1098790,1055133,1011476,967819,924162,880504,875570,870635,865700,860766,855831,981323,947252,955986,1018082
