,Train,2013
0,Total U.S.-Mexican border,9341
1,Total top 5 gateways,8837
2,"Laredo, TX",3629
3,"Eagle Pass, TX",2459
4,"El Paso, TX",1357
5,"Nogales, AZ",866
6,"Brownsville, TX",526
