,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,"Number of systemsd, 5, total",1286,1096,1055,5078,5973,5973,5973,5973,5975,6000,6000,6000,6000,5804,6429,6429,6435,7700,7700,7200
1,Motor  bus,1236,1075,1022,2688,2250,2250,2250,2250,2250,2262,2262,2264,2264,1982,1500,1500,1500,1200,1086,1088
2,Heavy  rail,31,15,11,12,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15
3,Light  rail,~,~,9,17,22,22,22,22,22,24,25,26,27,27,29,29,33,33,33,35
4,Trolley  bus,19,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5
5,Demand  responsive,U,U,U,3893,5214,5214,5214,5214,5214,5252,5252,5251,5251,5346,5960,5960,5960,7300,7200,6700
6,Ferryboata,U,U,16,27,25,25,25,25,25,30,33,42,42,46,47,47,47,39,32,32
7,Commuter  rail,U,U,18,14,16,16,16,16,18,20,19,21,20,21,21,22,22,22,23,27
8,Otherb,U,U,5,35,68,69,73,69,70,81,81,82,82,86,85,87,87,97,100,94
9,"Number  of vehicles 6, total",65292,61350,75388,93430,116416,116341,93675,98381,100346,103308,106136,111266,112104,114932,117402,121912,125647,125607,129286,136117
10,Motor  bus,49600,49700,59411,58714,68123,67107,53339,54946,55661,57352,58578,60256,60719,61659,61318,62284,64025,63359,63151,63343
11,Heavy  rail,9010,9338,9641,10567,10282,10166,10243,10228,10296,10362,10311,10718,10849,10754,10858,11110,11052,11222,11377,11461
12,Light  rail,2856,1262,1013,910,1051,1048,1097,1062,1061,1160,1306,1359,1448,1482,1622,1645,1801,1802,1948,2059
13,Trolley  bus,3826,1050,823,610,643,695,675,655,646,657,652,600,616,672,597,615,609,559,590,531
14,Demand  responsive,U,U,U,16471,28729,29352,17738,19820,20042,20761,22087,24668,24808,25873,26333,28346,29406,29433,30773,34235
15,Ferryboata,U,U,U,108,110,112,84,87,97,101,98,109,106,108,115,126,116,130,131,143
16,Commuter  raile,U,U,4500,4982,5126,5164,5239,5425,5535,5549,5497,5528,5631,5866,6130,6290,6300,6279,6494,6722
17,Otherb,U,U,U,1068,2352,2697,5260,6158,7008,7366,7607,8028,7927,8518,10429,11496,12338,12823,14822,17623
18,"Number of employeesf, 7, total",156400,138040,"(R) 187,000",262176,294087,300491,314944,320759,327752,337885,347841,357266,360722,337982,345871,354458,357484,"(R) 370,784",387155,390326
19,Motor  bus,121300,101598,U,162189,174373,181973,190152,196861,198644,204179,211095,214674,214825,205478,212122,217332,221302,"(R) 186,329",192213,192510
20,Heavy  rail,35100,36442,U,46102,51062,45644,45793,45935,45163,46311,47087,47865,48464,48327,47211,47806,48323,"(R) 49,369",49982,49741
21,Light  rail,+,+,U,4066,5140,4935,5728,5940,6024,6058,6572,7021,7598,7619,8184,8181,8448,"(R) 9,250",9939,10558
22,Trolley  bus,+,+,U,1925,1848,1871,2084,2037,2053,2140,2223,2008,2027,1964,1928,1942,1845,"(R) 1,769",1832,1986
23,Demand  responsive,U,U,U,22740,35450,39882,44667,44029,48406,51186,52021,55846,56746,42935,43642,46624,46178,"(R) 91,183",99323,100242
24,Ferryboata,U,U,U,2813,2764,2829,2932,3586,3632,4125,2682,4820,5441,5536,5970,5871,4539,4079,4165,4596
25,Commuter  rail,U,U,U,21443,22596,22320,22604,21651,22488,22896,23518,23851,24391,24813,25296,25321,25314,"(R) 26,272",27144,28278
26,Otherb,U,U,U,898,854,1037,984,720,1342,990,2643,1181,1230,1312,1518,1382,1535,"(R) 2,533",2557,2591
