,Truck,2005
0,Total U.S.-Mexican border,4675897
1,Total top 5 gateways,3737803
2,"Laredo, TX",1455607
3,"El Paso, TX",740654
4,"Otay Mesa, CA",730253
5,"Hidalgo, TX",491077
6,"Calexico East, CA",320212
