,Unnamed: 0,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
0,"Ton-miles (thousands)g, 9",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,"Domestic  water freight, total",N,596195000,921835800,833543800,814919200,807727700,764686500,707409900,672795300,655861500,645799300,621686200,612080500,606146300,621170,591277,U
2,Coastwise,N,359784000,631149200,479133600,457600700,440345100,408086100,349843000,314863900,292730000,283871600,274558800,263688200,278918700,279857,263464,U
3,Internal,N,155816000,227343000,292393300,297762400,306329100,296790600,294023000,294896400,304724100,302558400,294860900,293410300,278352300,284096,274367,U
4,Lakewise,N,79416000,61747100,60929900,58263400,59703800,58335300,62165900,61654300,57045200,57879100,50853500,53652900,47539400,55733,51924,U
5,Intraport,N,1179000,1596400,1087000,1292700,1349600,1474500,1378100,1380700,1362200,1490200,1413000,1329000,1335900,1484,1521,U
6,Tons  of freight hauled (thousands) 9,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,"Domestic,  total",760573,950727,1077483,1122299,1099011,1093035,1100679,1112527,1094112,1061787,1069798,1042472,1021001,1016136,1047088,1028910,U
8,Coastwise,209197,238440,329609,298637,277029,266612,267389,263146,249633,228802,226938,223606,216396,223458,220557,213668,U
9,Internal,291057,472123,534979,622595,618409,620324,622081,630558,625028,624575,628445,619784,608038,609598,626598,623980,U
10,Lakewise,155109,157059,115124,110159,114777,116127,114870,122734,122156,113887,114352,100002,101466,89776,103533,96226,U
11,Intraport,104193,81475,94184,86378,82870,83104,89011,89816,90077,88650,94558,93222,90004,86909,91267,90166,U
12,Intraterritory,1017,1630,3588,4529,5926,6868,7327,6273,7217,5873,5505,5858,5097,6395,5484,4871,U
13,"Exports,  total",127961,241629,403883,441586,396246,474700,450794,432313,404708,399996,415042,399011,384350,373324,415786,401827,U
14,Great  Lakes ports,23150,35932,45077,32898,27108,32968,31855,33209,36876,40233,40131,40519,38066,32943,36090,37291,U
15,Coastal  ports,104810,205698,358806,408688,369138,441732,418940,399104,367831,359763,374911,358491,346284,340381,379697,364536,U
16,"Imports,  total",211316,339340,517521,599970,719497,672657,732592,788303,840680,860775,939749,951815,934941,1004791,1089065,1096885,U
17,Great  Lakes ports,12851,26406,15515,17558,23028,18897,24503,24532,25558,22196,23917,21391,21548,23336,26086,24114,U
18,Coastal  ports,198466,312934,502006,582412,696469,653760,708090,763771,815122,838579,915832,929794,929794,981455,1062979,1072771,U
19,"Average  haul, domestic system (miles)h, 9",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
20,Coastwise,1496,1509,1915,1604,1652,1652,1526,1330,1261,1279,1251,1228,1219,1248,1269,1233,U
21,Internal,282,330,405,470,482,494,477,466,472,488,481,476,483,457,454,440,U
22,Lakewise,522,506,536,553,508,514,508,507,505,501,506,509,529,530,538,540,U
23,Cargo  capacity (short tons)6,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
24,Total  nonself-propelled vessels,16355657,24026024,44875116,"(R) 49,066,020",49708960,###########,54086973,54974961,55999952,56468065,56581364,57341226,56721816,55053776,55527696,57035748,U
25,Dry  cargo barges,12147006,17695275,34486851,38189490,38643518,39971443,42748644,43710093,44718691,45049209,44814696,45281492,44688157,43094911,43282387,44777151,U
26,Tankers,4208651,6330749,10388265,10757295,11065442,11169087,11338329,11264868,11281261,11418856,11678593,11957598,11925863,11860144,12158254,12172542,U
27,Total  self-propelled vessels,15905881,19284050,23906346,19829011,16867458,15783399,14850253,14161739,12970167,13892574,13458519,12770889,12093812,11804878,12546796,12342584,U
28,Dry  cargo / passenger,12188956,10815977,8011587,7147054,7118193,6484707,6208011,6685719,6371425,6928684,6740153,6544807,6452715,6570281,7293500,6614973,U
29,Tankers,3716925,8468073,15894753,12681957,9749265,9298692,8642242,7476020,6598742,6963890,6718366,6226082,5641097,5234597,5253396,5727512,U
30,"Fuel  consumption (thousand barrels), total1",122014,123591,273380,232036,210650,225470,213721,187729,183856,208604,233227,U,U,U,U,U,U
31,Diesel fuel and distillate,18730,19503,35201,52310,48260,47098,51848,50180,50609,49157,53843,U,U,U,U,U,U
32,Residual  fuel oil,94084,89850,213131,148764,141544,153125,138214,114044,110480,133301,152616,U,U,U,U,U,U
33,Gasoline,9200,14238,25048,30962,20846,25247,23659,23505,22767,26146,26768,U,U,U,U,U,U
