,Truck Container,2011
0,Total U.S.-Canadian border,5212338
1,Total top 5 gateways,3496194
2,"Detroit, MI",1298385
3,"Buffalo-Niagara, NY",913001
4,"Port Huron, MI",665194
5,"Blaine, WA",335956
6,"Champlain-Rouse Pt., NY",283658
