,Urban area,Population group,Gallons wasted,Percent changea,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
0,Short-term  2009-2014,Long-term  1982-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(R) 1982,(R) 1985,(R) 1990,(R) 1991,(R) 1992,(R) 1993,(R) 1994,(R) 1995,(R) 1996,(R) 1997,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012.0,2013.0,2014.0,Percent,Rank,Percent,Rank,,
41,"Houston, TX",Very large,9,10,10,10,10,11,11,12,13,13,14,15,16,17,18,20,20,22,23,23,23,23,23.0,24.0,27.0,28,29,26.1,7,222.2,91.0
42,"Indianapolis, IN",Large,5,6,8,8,9,10,10,11,12,13,13,13,14,15,16,16,17,18,19,20,22,21,22.0,22.0,22.0,23,23,10.5,48,360.0,72.0
43,"Indio-Cathedral City-Palm Springs, CA",Small,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,3,3,4,3,2,2,2.0,2.0,2.0,2,2,0.0,88,100.0,98.0
44,"Jackson, MS",Small,2,2,9,4,4,5,5,6,6,7,7,8,9,11,12,12,13,14,14,14,14,14,14.0,15.0,15.0,15,15,7.1,64,650.0,30.0
45,"Jacksonville, FL",Large,3,4,10,6,7,7,8,8,9,10,10,11,11,12,13,14,15,16,16,17,16,15,15.0,15.0,15.0,15,15,0.0,88,400.0,63.0
46,"Kansas City, MO-KS",Large,3,4,10,8,9,10,10,11,11,12,12,13,13,14,15,15,16,16,16,17,17,17,17.0,18.0,18.0,18,18,6.3,69,500.0,54.0
47,"Knoxville, TN",Medium,2,3,11,5,6,6,7,7,8,9,10,11,12,12,13,14,14,14,15,16,16,15,16.0,16.0,16.0,17,17,13.3,32,750.0,21.0
48,"Lancaster-Palmdale, CA",Small,1,2,12,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,5,4,5,5.0,5.0,5.0,5,5,0.0,88,400.0,63.0
49,"Laredo, TX",Small,0,0,13,1,1,1,1,2,2,3,3,4,4,4,4,5,5,5,6,8,9,8,9.0,9.0,9.0,10,10,33.3,3,,
50,"Las Vegas, NV",Large,1,2,13,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,20,21,22,21,20.0,20.0,20.0,21,21,0.0,88,2000.0,1.0
51,"Little Rock, AR",Small,1,2,13,3,3,3,4,4,4,5,5,6,7,8,8,8,9,10,11,12,13,13,13.0,13.0,13.0,13,13,0.0,88,1200.0,5.0
52,"Los Angeles-Long Beach-Santa Ana, CA",Very large,10,12,14,16,16,17,18,19,20,20,21,21,22,22,23,23,24,25,25,25,25,24,24.0,25.0,25.0,25,25,4.0,85,150.0,95.0
53,"Louisville, KY-IN",Large,5,6,15,9,10,10,11,12,12,13,13,14,15,16,17,17,18,18,19,19,20,19,20.0,20.0,20.0,21,22,15.8,20,340.0,75.0
54,"Madison, WI",Small,4,5,16,5,5,6,6,7,7,8,8,9,9,10,11,12,12,13,15,16,16,16,17.0,17.0,18.0,18,19,20.0,13,375.0,68.0
55,"McAllen, TX",Medium,1,1,16,2,3,3,3,3,4,4,4,5,6,6,7,7,8,9,10,11,12,11,12.0,12.0,13.0,13,13,20.0,13,1200.0,5.0
56,"Memphis, TN-MS-AR",Large,3,4,17,9,9,10,11,12,13,14,15,16,17,17,18,18,19,19,20,20,21,20,20.0,20.0,20.0,21,21,5.0,79,600.0,37.0
57,"Miami, FL",Very large,6,7,18,9,10,11,11,12,13,15,17,18,19,20,22,22,23,23,23,24,24,22,22.0,23.0,23.0,24,24,8.7,57,300.0,83.0
58,"Milwaukee, WI",Large,5,8,19,13,13,14,14,16,17,17,18,18,18,19,19,20,20,20,21,21,22,21,21.0,22.0,22.0,22,22,4.8,83,340.0,75.0
59,"Minneapolis-St. Paul, MN",Large,2,3,20,7,7,8,9,10,11,12,13,14,15,15,16,16,17,17,17,17,17,16,17.0,17.0,18.0,18,18,11.8,41,800.0,17.0
60,"Nashville-Davidson, TN",Large,3,4,22,6,6,6,7,8,9,10,11,12,13,15,16,17,18,19,20,20,20,19,20.0,21.0,22.0,22,22,15.0,25,633.3,34.0
61,"New Haven, CT",Medium,3,5,21,8,9,10,11,12,13,14,15,16,17,17,18,18,19,19,19,20,20,19,19.0,19.0,19.0,19,19,0.0,88,533.3,50.0
62,"New Orleans, LA",Medium,7,9,22,12,12,13,14,15,15,15,16,16,16,17,17,18,18,17,15,17,19,20,21.0,21.0,21.0,21,22,13.3,32,214.3,92.0
63,"New York-Newark, NY-NJ-CT",Very large,10,11,22,15,16,17,18,19,20,21,22,24,25,26,28,30,31,32,33,33,33,33,34.0,34.0,35.0,35,35,6.1,70,250.0,90.0
64,"Oklahoma City, OK",Large,3,4,22,6,6,8,8,9,10,11,11,13,14,15,16,16,17,17,18,18,19,19,19.0,20.0,21.0,21,23,22.2,12,666.7,29.0
65,"Omaha, NE-IA",Medium,2,3,23,5,6,6,7,7,8,8,9,10,11,11,12,12,13,13,14,14,15,15,15.0,15.0,16.0,16,17,14.3,27,750.0,21.0
66,"Orlando, FL",Large,2,3,23,7,8,8,9,9,10,11,12,13,14,15,16,18,18,19,20,20,21,19,20.0,20.0,20.0,20,21,10.0,49,950.0,11.0
