,Personal vehicle passengers – top 5 gateways,2009
0,"Buffalo-Niagara Falls, NY",11817527
1,"Detroit, MI",7270765
2,"Blaine, WA",5966409
3,"Port Huron, MI",3319652
4,"Champlain-Rouses Point, NY",2198127
