,Personal vehicle passengers – top 5 gateways,2005
0,"Buffalo-Niagara Falls, NY",13224477
1,"Detroit, MI",10655076
2,"Blaine, WA",4868308
3,"Port Huron, MI",4001589
4,"Champlain-Rouses Point, NY",2921118
