,Unnamed: 0,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
0,"Fatalities in waterborne transport  (vessel casualties only), totali,10",N,178,206,85,77,52,55,48,67,51,45,31,61,54,48,45,48
1,Freight  ship,N,30,8,0,0,0,1,2,2,0,0,1,3,3,8,2,1
2,Tank  ship,N,4,4,5,3,0,0,0,1,0,0,0,0,0,3,0,0
3,Passenger  vessel,N,1,5,3,4,4,8,1,3,14,0,3,6,29,9,6,3
4,Tug  / towboat,N,22,14,13,1,1,1,3,0,5,0,4,8,0,1,10,6
5,Offshore  supply,N,N,N,2,1,2,2,0,6,0,2,0,0,0,0,0,0
6,Fishing  vessel,N,77,60,47,48,23,37,22,33,23,28,9,15,14,16,16,19
7,Recreational  vessel,N,N,N,3,13,22,3,7,7,5,10,12,14,1,7,9,12
8,MODU  j,N,N,N,0,0,0,0,4,0,0,0,1,0,2,1,0,1
9,Platform,N,N,N,1,U,U,U,U,U,0,0,0,0,U,U,U,U
10,Freight  barge,N,N,N,0,2,0,0,2,1,0,1,0,0,0,1,1,2
11,Tank  barge,N,N,N,0,0,0,0,0,0,1,0,1,0,2,0,0,0
12,Miscellaneous,N,44,56,11,5,0,3,7,14,3,4,0,2,0,0,1,2
13,"Injuries  in waterborne transport, totali,10",N,105,180,175,180,152,229,119,130,136,131,185,187,255,228,140,177
14,Freight  ship,N,14,8,10,6,1,7,3,3,2,4,2,7,12,7,12,19
15,Tank  ship,N,19,9,13,10,8,1,5,6,5,3,3,0,3,7,3,2
16,Passenger  vessel,N,10,10,51,43,47,142,36,39,71,50,109,57,140,81,58,63
17,Tug  / towboat,N,10,27,19,19,19,16,21,12,13,10,18,17,12,27,20,22
18,Offshore  supply,N,N,N,9,2,10,7,3,5,1,5,13,0,5,5,1,6
19,Fishing  vessel,N,13,28,31,55,41,36,25,35,19,24,15,41,29,37,29,33
20,Recreational  vessel,N,N,N,2,17,20,9,6,9,11,26,15,14,11,37,8,13
21,MODUj,N,N,N,13,0,0,0,3,0,2,0,3,0,19,3,2,2
22,Platform,N,N,N,9,U,U,U,U,U,1,1,0,0,U,U,U,U
23,Freight  barge,N,N,N,3,4,0,0,5,1,0,2,0,0,0,4,0,0
24,Tank  barge,N,N,N,3,3,5,2,0,0,2,0,2,0,2,3,1,0
25,Miscellaneous,N,N,98,12,21,1,9,12,20,9,6,5,9,14,7,3,6
26,"Fatalities in recreational boating (vessel casualties  only), total 8",739,1418,1360,865,748,829,709,821,815,734,701,681,750,703,676,697,710
27,Air thrust,N,N,N,N,N,4,1,6,11,2,4,2,1,6,4,3,3
28,Propeller,N,N,N,N,N,475,363,436,462,421,439,326,506,421,433,355,438
29,Inboard,N,119,100,50,36,N,N,N,N,50,48,34,60,40,39,24,39
30,Outboard,N,774,609,454,341,N,N,N,N,326,328,245,372,320,322,259,301
31,Inboard  / outboard,N,28,47,53,49,N,N,N,N,35,49,32,47,47,43,61,69
32,Jet,N,N,10,25,58,68,61,83,82,75,70,45,75,66,65,72,74
33,Sail,N,44,43,20,13,4,8,15,5,7,14,19,3,7,11,21,11
34,"Manual  (oars, paddle)",N,205,272,182,140,148,109,150,151,114,137,144,107,113,130,134,135
35,Other,N,29,14,5,12,8,8,10,0,0,0,0,0,0,0,1,1
36,Propulsion  unknown,N,219,265,76,135,122,159,121,104,115,37,145,58,90,33,111,48
