,Personal vehicle passengers – top 5 gateways,2003
0,"Buffalo-Niagara Falls, NY",13216214
1,"Detroit, MI",10965872
2,"Blaine, WA",4491959
3,"Port Huron, MI",3821908
4,"Champlain-Rouses Point, NY",3521091
