,Train passengers – top 5 gateways,2013
0,"Skagway, AK",81526
1,"Blaine, WA",72915
2,"Champlain-Rouses Point, NY",50146
3,"Buffalo-Niagara Falls, NY",22987
4,"Detroit, MI",9303
