,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,"Air carrier, domestic, scheduled service",33.01,34.13,40.65,53.64,84.6,92.53,107.96,106.82,103.97,110.3,103.71,107.14,110.79,114.18,114.45,115.09,121.29,111.6,101.68,106.77,105.14,106.48,114.39,114.10,120.57,105.41,113.66,122.82,122.49,126.87,124.54
1,"Class I bus, intercitya",2.46,2.73,3.81,5.46,10.57,11.98,20.22,21.86,21.15,21.32,19.77,20.1,22.85,20.83,23.14,26.16,29.46,30.27,30.11,U,U,U,U,U,U,U,U,U,U,U,U
2,"Transit, all modesb (unlinked)",0.14,0.16,0.22,0.27,0.3,0.53,0.67,0.7,0.72,0.77,0.85,0.88,0.93,0.9,0.91,0.9,0.93,0.92,0.9,0.96,1.01,1.03,1.26,1.07,1.11,1.17,1.22,1.30,1.33,1.40,1.43
3,Commuter rail,0.64,0.71,0.84,1.04,1.41,2.85,2.9,3.01,3.09,3.09,3.19,3.13,3.25,3.3,3.29,3.3,3.33,3.43,3.49,3.79,3.90,4.08,4.22,4.32,4.58,4.68,4.84,5.26,5.44,5.64,5.84
4,Intercity rail / Amtrakc,4.22,3.92,3.19,12.96,17.72,26.15,39.59,41.19,40.78,40.11,39.1,39.92,43.31,45.26,44.75,46.85,52.15,54.22,59.07,53.90,53.29,51.57,56.41,58.77,60.39,58.88,60.70,62.67,64.66,(R) 68.22,70.78
