,Train,2008
0,Total U.S.-Canadian border,29780
1,Total top 5 gateways,16677
2,"International Falls, MN",4136
3,"Port Huron, MI",4061
4,"Detroit, MI",3135
5,"Warroad, MN",2879
6,"Buffalo-Niagara, NY",2466
