,Personal vehicles ─ top 5 gateways,2013
0,"San Ysidro, CA",11346966
1,"El Paso, TX",10877163
2,"Otay Mesa, CA",6235300
3,"Laredo, TX",5023185
4,"Hidalgo, TX",4768256
