,Bus passengers – top 5 gateways,2010
0,"Buffalo-Niagara Falls, NY",744789
1,"Champlain-Rouses Point, NY",368763
2,"Blaine, WA",332445
3,"Detroit, MI",268622
4,"Skagway, AK",144994
