,Train,2015
0,Total U.S.-Canadian border,30969
1,Total top 5 gateways,16984
2,"Baudette, MN",3830
3,"International Falls, MN",3732
4,"Warroad, MN",3684
5,"Port Huron, MI",3370
6,"Blaine, WA",2368
