,Personal vehicle passengers – top 5 gateways,2002
0,"Buffalo-Niagara Falls, NY",17031458
1,"Detroit, MI",12318806
2,"Blaine, WA",4794088
3,"Port Huron, MI",4188972
4,"Champlain-Rouses Point, NY",3766141
