,Train,2014
0,Total U.S.-Canadian border,28643
1,Total top 5 gateways,15205
2,"Port Huron, MI",4074
3,"International Falls, MN",3333
4,"Warroad, MN",3222
5,"Buffalo-Niagara, NY",2395
6,"Detroit, MI",2181
