,Rail Container,2004
0,Total U.S.-Mexican border,675305
1,Total top 5 gateways,660214
2,"Laredo, TX",317061
3,"El Paso, TX",110992
4,"Brownsville, TX",97803
5,"Eagle Pass, TX",87459
6,"Nogales, AZ",46899
