,Truck,2004
0,Total U.S.-Canadian border,6903882
1,Total top 5 gateways,4591686
2,"Detroit, MI",1701452
3,"Buffalo-Niagara, NY",1175254
4,"Port Huron, MI",945962
5,"Champlain-Rouse Pt., NY",397317
6,"Blaine, WA",371701
