,Truck Container,2009
0,Total U.S.-Canadian border,4954442
1,Total top 5 gateways,3227155
2,"Detroit, MI",1153887
3,"Buffalo-Niagara, NY",845627
4,"Port Huron, MI",623549
5,"Blaine, WA",310962
6,"Champlain-Rouse Pt., NY",293130
