,Â,1961,1971,1981,1991,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Total world,3809,6948,9729,11974,13941,13946,14178,14993,14807,16132,16799,16181,17757,18549,21131,21193,20988,22643,20796,17957,25211,26398,26399,30522,32335,34405
1,U.S. percent of world,29.7,30.1,17.4,28.0,40.4,40.7,40.9,41.7,44.0,46.2,43.5,40.9,41.2,41.2,36.9,36.2,33.1,30.4,23.8,19.6,19.9,21.5,23.6,21.9,22.9,23.1
2,Argentina,58,60,33,25,70,59,44,80,105,80,101,66,48,60,89,137,169,194,198,133,208,252,267,284,254,235
3,Australia,49,77,40,15,31,17,19,29,34,17,25,34,37,48,64,69,30,26,39,35,34,30,31,30,25,15
4,Austria,5,6,8,6,3,9,9,10,12,16,25,24,20,21,21,23,27,28,25,16,19,22,19,20,16,17
5,Belgium,1,17,41,84,70,82,69,74,87,74,121,129,119,113,43,31,36,45,44,13,26,34,33,34,35,40
6,Brazil,47,174,374,255,334,332,346,388,329,242,323,316,271,322,454,519,519,582,659,608,820,804,745,1023,853,464
7,Canada,63,277,520,829,1106,1071,1118,1198,1050,1430,1411,1258,1260,1213,1376,1281,1144,1237,887,668,1101,1145,1423,1415,1481,1395
8,China,U,U,U,628,1103,1114,1084,1096,1121,1235,1389,1628,2160,2425,2754,2082,2405,3700,4263,6327,8771,8366,8567,10058,11223,12512
9,Czech Republicb,17,28,49,29,6,8,9,47,42,27,27,8,6,5,5,5,6,13,13,7,7,8,7,6,7,6
10,Finland,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0,40
11,France,217,316,408,423,383,424,443,322,351,357,469,447,409,400,439,436,446,465,423,228,305,363,328,302,347,45
12,Germany,411,312,358,358,262,307,303,345,379,378,395,390,346,361,378,408,421,504,514,245,354,439,409,437,447,478
13,India,32,47,107,176,238,306,366,336,129,261,282,277,186,254,571,643,772,873,809,861,1237,1461,1629,1526,1481,1606
14,Italy,65,116,176,245,194,245,227,254,290,291,316,308,301,295,308,313,319,373,365,182,263,305,275,437,297,351
15,Japan,789,2093,4206,3492,2752,2585,2482,2484,1994,1805,1781,1660,1639,1808,1791,1783,1728,1652,1647,1072,1319,1240,1388,1442,1497,1448
16,Malaysia,U,U,U,0,0,0,0,0,7,5,15,14,U,U,U,U,U,U,U,U,U,U,U,U,U,U
17,Mexico,U,57,242,269,266,236,422,503,500,540,792,856,845,801,771,838,948,886,950,618,956,1024,1192,1283,1452,1597
18,Netherlands,6,13,12,26,23,32,19,20,28,25,52,50,49,56,60,65,72,77,73,26,46,70,66,68,66,76
19,Poland,22,60,60,25,16,34,48,27,39,44,24,20,23,14,76,85,107,113,142,74,96,113,111,113,118,121
20,Portugal,U,U,U,26,87,16,13,81,90,65,56,62,68,74,76,83,84,42,43,24,44,50,48,44,44,41
21,Romania,U,U,U,10,5,22,23,21,23,19,14,12,U,U,U,U,U,U,U,U,U,U,U,U,U,U
22,Russia,406,612,874,744,206,156,136,192,U,226,237,228,239,269,275,285,331,379,324,127,195,251,263,256,194,163
23,Slovakia,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,0,0
24,South Africa,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,192,253,258,242,151,177,220,265,281,289,248
25,South Korea,U,U,65,340,506,523,548,510,329,471,513,475,496,410,1416,1505,1542,1577,1391,1138,1480,1755,1690,1882,2010,2181
26,Spain,20,79,132,139,168,203,199,220,609,644,587,639,588,630,610,578,590,581,528,337,437,486,384,409,505,514
27,Sweden,22,30,55,75,82,102,95,104,114,109,36,38,38,43,48,35,39,44,46,23,31,43,38,38,34,41
28,Taiwan,U,U,U,116,132,124,101,113,112,95,100,77,92,122,131,123,92,71,44,43,U,U,U,U,U,U
29,Turkey,U,12,22,46,31,49,69,102,U,U,133,95,142,240,376,426,442,465,526,359,491,549,78,492,437,568
30,United Kingdom,443,456,230,217,228,233,238,238,233,186,189,193,193,189,209,207,208,216,202,91,119,120,112,87,71,94
31,United States,1131,2088,1690,3350,5638,5669,5795,6252,6510,7447,7303,6617,7322,7634,7794,7681,6949,6885,4941,3514,5012,5679,6227,6698,7408,7943
32,Venezuela,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,60,69,59,57,53,44,44,50,38,13,14
33,"Yugoslavia, Federal Republic ofc",5,18,27,26,2,2,1,2,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
