,Personal vehicle passengers ─ top 5 gateways,2010
0,"San Ysidro, CA",23600605
1,"El Paso, TX",17919814
2,"Laredo, TX",10857512
3,"Hidalgo, TX",10691969
4,"Brownsville, TX",9291617
