,Personal vehicles ─ top 5 gateways,2006
0,"San Ysidro, CA",17135163
1,"El Paso, TX",15602602
2,"Brownsville, TX",6967503
3,"Hidalgo, TX",6480467
4,"Calexico, CA",6110214
