,Truck,2014
0,Total U.S.-Mexican border,5414568
1,Total top 5 gateways,4372500
2,"Laredo, TX",1947846
3,"Otay Mesa, CA",810193
4,"El Paso, TX",759125
5,"Hidalgo, TX",530093
6,"Calexico East, CA",325243
