,Rail Container,2011
0,Total U.S.-Mexican border,770965
1,Total top 5 gateways,759148
2,"Laredo, TX",371553
3,"Eagle Pass, TX",194731
4,"El Paso, TX",92182
5,"Nogales, AZ",61232
6,"Brownsville, TX",39450
