,Train passengers – top 5 gateways,2007
0,"Skagway, AK",80816
1,"Buffalo-Niagara Falls, NY",39640
2,"Blaine, WA",32106
3,"Champlain-Rouses Point, NY",20881
4,"Detroit, MI",9323
