,Â,1960,1970d,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,Class Ia,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,"Car  mileage, freight (thousands)1",28170000,29890000,29277000,26159000,28485000,30383000,31715000,31660000,32657000,33851000,34590000,34243000,34680000,35555000,37071000,37712000,38955000,38186000,37226000,32115000
2,"Train  mileage, freight (thousands)1",404464,427065,428498,379582,440896,458271,468792,474954,474947,490442,504001,499546,499668,515999,534696,547566,562607,543475,524223,436235
3,"Locomotive  mileage, total (thousands)6",N,N,1531050,1280365,1404706,1444691,1465149,1423229,1439703,1503947,1502819,1477546,1443531,1484074,1538385,1587650,1659848,1608755,1558855,U
4,Freight,421900,1278200,1319010,1144559,1261482,1293851,1311351,1281768,1285706,1349580,1354590,1327669,1300574,1353885,1398450,1447014,1526229,1475006,1435561,U
5,Train  and yard switching,N,N,212040,135806,143224,150840,153798,141461,153997,154366,148229,149876,142957,130190,139935,140636,133618,133749,123294,U
6,Revenue  ton-miles of freight (millions)1,572309,764809,918958,1033969,1200701,1305688,1355975,1348926,1376802,1433461,1465960,1495472,1507011,1551438,1662598,1696425,1771897,1770545,1777236,1532214
7,"Average  length of haul, freight (miles)1",461,515,616,726,817,843,842,851,835,835,843,859,853,862,902,894,906,913,919,919
8,Fuel  consumed in freight service (million gallons)1,3463,3545,3904,3115,3334,3480,3579,3575,3583,3715,3700,3710,3730,3826,4059,4098,4192,4062,3886,3192
9,Average  miles traveled per vehicle,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
10,Car,14332,16753,17113,21579,23889,24926,25565,24921,24822,24730,25051,26057,26684,27799,28784,28739,28930,27557,26724,23555
11,Locomotive,N,N,54497,67978,75910,76796,76037,72304,71058,74247,75036,74831,70396,71449,69879,69698,69941,66634,64944,U
12,Average  miles traveled per gallon,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
13,Car,8.13,8.43,7.50,8.40,8.54,8.73,8.86,8.86,9.11,9.11,9.35,9.23,9.30,9.29,9.13,9.20,9.29,9.40,9.58,10.06
14,Train,0.12,0.12,0.11,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14
15,Amtrak,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
16,Passenger  train car-miles (millions)7,N,213,235,301,304,292,276,288,312,342,371,378,379,332,308,265,264,267,272,283
17,Passenger  train-miles (millions)7,N,26,30,33,34,32,30,32,33,34,35,36,38,37,37,36,36,37,38,38
18,Passenger  locomotive-miles (millions)7,N,N,41,49,51,48,U,U,U,U,U,U,U,U,U,U,U,U,U,U
19,Revenue  passengers carried (millions)7,N,17,21,22,21,21,20,20,21,22,23,24,23,25,25,25,25,27,29,27
20,Revenue  passenger-miles (millions)7,N,3039,4503,6057,5921,5545,5050,5166,5304,5330,5498,5559,5314,5680,5511,5381,5410,5784,6179,5914
21,Average  passenger fare (dollars)7,N,8.30,17.72,38.50,39.10,39.92,43.31,45.26,44.75,46.85,49.61,51.58,56.05,57.78,56.81,58.29,65.43,66.84,68.44,66.70
22,Average  passenger revenue / passenger-mile (cents)7,N,4.5,8.2,14.1,14.0,14.9,16.9,17.7,17.8,18.9,20.3,21.8,24.5,25.0,26.0,27.16,29.69,30.68,31.80,30.77
23,Average  passenger trip length (miles)7,N,182.6,217.0,273.0,279.3,267.9,256.3,255.7,251.4,247.9,244.4,236.6,228.4,230.9,218.6,214.6,220.4,217.9,215.2,216.8
24,Locomotive  fuel consumed8,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
25,Diesel  (million gallons),N,N,64,82,75,66,71,75,75,74,76,97,84,75,69,65,62,62,63,U
26,Electric  kWh (millions),N,N,254,330,309,304,293,282,275,283,350,456,518,537,551,531,549,578,582,U
