,Personal vehicles – top 5 gateways,2013
0,"Buffalo-Niagara Falls, NY",5847483
1,"Blaine, WA",4977947
2,"Detroit, MI",4129032
3,"Port Huron, MI",2037430
4,"Lynden, WA","(R) 1,365,458"
