,Truck Container,2010
0,Total U.S.-Canadian border,5311147
1,Total top 5 gateways,3528927
2,"Detroit, MI",1388797
3,"Buffalo-Niagara, NY",898485
4,"Port Huron, MI",658350
5,"Champlain-Rouse Pt., NY",292834
6,"Blaine, WA",290461
