,Â,1960,1965,1970,1975,1980,1985,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Air carriersa,N,N,39,36,63,102,70,96,96,96,96,94,91,87,83,72,80,85,87,87,88,76,77,76,73,71,67,63
1,Major air carriers,N,N,N,N,N,13,14,11,12,13,13,13,15,15,15,14,15,17,21,22,22,23,21,19,18,20,20,18
2,Other air carriers,N,N,N,N,N,89,56,85,84,83,83,81,76,72,68,58,65,68,66,65,66,53,56,57,55,51,47,45
3,Railroads,607,568,517,477,480,500,530,541,553,550,559,555,560,571,552,549,556,560,559,563,565,563,565,567,574,U,U,U
4,Class I railroads,106,76,71,73,39,25,14,11,10,9,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
5,Other railroads,501,492,446,404,441,475,516,530,543,541,550,546,552,563,545,542,549,553,552,556,558,556,558,560,567,U,U,U
6,Interstate motor carriersb,U,U,U,U,U,U,216000,346000,379000,417000,477486,517297,560393,592909,600104,674314,677317,679744,692789,711792,715011,726928,739421,742762,759612,771168,720764,746142
7,Marine vessel operatorsc,U,U,U,U,U,U,U,1381,1348,1311,1235,1174,1114,1063,877,798,767,733,682,707,652,628,603,584,570,553,532,U
8,Pipeline operatorsd,N,N,1123,1682,2243,2163,2198,2367,2327,2281,2236,2238,2157,2135,2186,2216,2278,2332,"(R) 2,382","(R) 2,401","(R) 2,372","(R) 2,392","(R) 2,387","(R) 2,456",2536,2604,2657,2644
9,Hazardous liquide,N,N,N,N,N,171,171,197,205,216,219,215,220,220,217,234,282,308,338,343,350,361,(R) 380,(R) 394,414,442,459,482
10,Natural gas transmissionf,N,N,420,432,474,724,866,975,971,957,889,885,844,837,920,948,947,976,1005,1013,998,1042,"(R) 1,042","(R) 1,098",1137,1172,1203,1206
11,Natural gas distributiong,N,N,938,1500,1932,1485,1382,1444,1397,1365,1375,1393,1363,1341,1331,1311,1375,1390,"(R) 1,391","(R) 1,399","(R) 1,377","(R) 1,350","(R) 1,334","(R) 1,346",1369,1382,1379,1354
