,Train,2011
0,Total U.S.-Mexican border,8366
1,Total top 5 gateways,7885
2,"Laredo, TX",3413
3,"Eagle Pass, TX",2151
4,"El Paso, TX",1152
5,"Nogales, AZ",709
6,"Brownsville, TX",460
