,Truck Container,2005
0,Total U.S.-Canadian border,6775444
1,Total top 5 gateways,4472799
2,"Detroit, MI",1678177
3,"Buffalo-Niagara, NY",1142274
4,"Port Huron, MI",924776
5,"Champlain-Rouse Pt., NY",374524
6,"Blaine, WA",353048
