,Buses – top 5 gateways,2008
0,"Buffalo-Niagara Falls, NY",34067
1,"Detroit, MI",31160
2,"Blaine, WA",14145
3,"Skagway, AK",11337
4,"Champlain-Rouses Point, NY",8418
