,Pedestrians – top 5 gateways,2012
0,"Buffalo-Niagara Falls, NY",290987
1,"Sumas, WA",36565
2,"Detroit, MI",20613
3,"Point Roberts, WA",16214
4,"International Falls, MN",16202
