,Truck Container,2003
0,Total U.S.-Mexican border,4293226
1,Total top 5 gateways,3444994
2,"Laredo, TX",1345099
3,"Otay Mesa/San Ysidro, CA",711526
4,"El Paso, TX",665422
5,"Hidalgo, TX",405238
6,"Calexico East, CA",317709
