,"Truck Container  2002  Total U.S.-Mexican border  4,434,441  Total top 5 gateways  3,556,930  Laredo, TX  1,437,580  Otay Mesa/San Ysidro, CA  726,318  El Paso, TX  714,931  Hidalgo, TX  386,985  Calexico East, CA  291,116",Truck Container,2002,Total U.S.-Mexican border,"4,434,441",Total top 5 gateways,"3,556,930","Laredo, TX","1,437,580","Otay Mesa/San Ysidro, CA","726,318","El Paso, TX","714,931","Hidalgo, TX","386,985","Calexico East, CA","291,116","Truck Container  2003  Total U.S.-Mexican border  4,293,226  Total top 5 gateways  3,444,994  Laredo, TX  1,345,099  Otay Mesa/San Ysidro, CA  711,526  El Paso, TX  665,422  Hidalgo, TX  405,238  Calexico East, CA  317,709",Truck Container.1,2003,Total U.S.-Mexican border.1,"4,293,226",Total top 5 gateways.1,"3,444,994","Laredo, TX.1","1,345,099","Otay Mesa/San Ysidro, CA.1","711,526","El Paso, TX.1","665,422","Hidalgo, TX.1","405,238","Calexico East, CA.1","317,709","Truck Container  2004  Total U.S.-Mexican border  4,512,900  Total top 5 gateways  3,621,641  Laredo, TX  1,387,648  Otay Mesa/San Ysidro, CA  726,166  El Paso, TX  717,245  Hidalgo, TX  453,222  Calexico East, CA  337,360",Truck Container.2,2004,Total U.S.-Mexican border.2,"4,512,900",Total top 5 gateways.2,"3,621,641","Laredo, TX.2","1,387,648","Otay Mesa/San Ysidro, CA.2","726,166","El Paso, TX.2","717,245","Hidalgo, TX.2","453,222","Calexico East, CA.2","337,360","Truck Container  2005  Total U.S.-Mexican border  4,677,562  Total top 5 gateways  3,740,341  Laredo, TX  1,455,504  Otay Mesa/San Ysidro, CA  744,278  El Paso, TX  734,851  Hidalgo, TX  494,572  Calexico East, CA  311,136",Truck Container.3,2005,Total U.S.-Mexican border.3,"4,677,562",Total top 5 gateways.3,"3,740,341","Laredo, TX.3","1,455,504","Otay Mesa/San Ysidro, CA.3","744,278","El Paso, TX.3","734,851","Hidalgo, TX.3","494,572","Calexico East, CA.3","311,136","Truck Container  2006  Total U.S.-Mexican border  4,740,407  Total top 5 gateways  3,777,395  Laredo, TX  1,518,819  El Paso, TX  757,795  Otay Mesa/San Ysidro, CA  748,146  Hidalgo, TX  462,859  Nogales, AZ  289,776",Truck Container.4,2006,Total U.S.-Mexican border.4,"4,740,407",Total top 5 gateways.4,"3,777,395","Laredo, TX.4","1,518,819","El Paso, TX.4","757,795","Otay Mesa/San Ysidro, CA.4","748,146","Hidalgo, TX.4","462,859","Nogales, AZ","289,776","Truck Container  2007  Total U.S.-Mexican border  4,852,936  Total top 5 gateways  3,881,283  Laredo, TX  1,563,860  El Paso, TX  759,319  Otay Mesa/San Ysidro, CA  735,305  Hidalgo, TX  496,413  Calexico East, CA  326,386",Truck Container.5,2007,Total U.S.-Mexican border.5,"4,852,936",Total top 5 gateways.5,"3,881,283","Laredo, TX.5","1,563,860","El Paso, TX.5","759,319","Otay Mesa/San Ysidro, CA.5","735,305","Hidalgo, TX.5","496,413","Calexico East, CA.4","326,386","Truck Container  2008  Total U.S.-Mexican border  4,844,250  Total top 5 gateways  3,882,764  Laredo, TX  1,555,414  Otay Mesa/San Ysidro, CA  774,195  El Paso, TX  752,574  Hidalgo, TX  477,014  Calexico East, CA  323,567",Truck Container.6,2008,Total U.S.-Mexican border.6,"4,844,250",Total top 5 gateways.6,"3,882,764","Laredo, TX.6","1,555,414","Otay Mesa/San Ysidro, CA.6","774,195","El Paso, TX.6","752,574","Hidalgo, TX.6","477,014","Calexico East, CA.5","323,567"
13,"El Paso, TX",665422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Hidalgo, TX",405238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Calexico East, CA",317709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Truck Container,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Total U.S.-Mexican border,4512900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Total top 5 gateways,3621641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Laredo, TX",1387648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Otay Mesa/San Ysidro, CA",726166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"El Paso, TX",717245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Hidalgo, TX",453222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Calexico East, CA",337360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Truck Container,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Total U.S.-Mexican border,4677562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Total top 5 gateways,3740341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Laredo, TX",1455504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Otay Mesa/San Ysidro, CA",744278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"El Paso, TX",734851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Hidalgo, TX",494572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Calexico East, CA",311136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Truck Container,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Total U.S.-Mexican border,4740407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Total top 5 gateways,3777395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Laredo, TX",1518819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"El Paso, TX",757795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Otay Mesa/San Ysidro, CA",748146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Hidalgo, TX",462859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Nogales, AZ",289776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Truck Container,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Total U.S.-Mexican border,4852936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Total top 5 gateways,3881283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Laredo, TX",1563860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"El Paso, TX",759319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Otay Mesa/San Ysidro, CA",735305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Hidalgo, TX",496413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Calexico East, CA",326386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Truck Container,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Total U.S.-Mexican border,4844250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Total top 5 gateways,3882764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Laredo, TX",1555414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Otay Mesa/San Ysidro, CA",774195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"El Paso, TX",752574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Hidalgo, TX",477014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Calexico East, CA",323567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Rail Container  2002  Total U.S.-Mexican border  602,322  Total top 5 gateways  591,255  Laredo, TX  296,782  Eagle Pass, TX  98,236  Brownsville, TX  96,591  Nogales, AZ  52,236  El Paso, TX  47,410",Rail Container,2002.0,Total U.S.-Mexican border,602322.0,Total top 5 gateways,591255.0,"Laredo, TX",296782.0,"Eagle Pass, TX",98236.0,"Brownsville, TX",96591.0,"Nogales, AZ",52236.0,"El Paso, TX",47410.0,"Rail Container  2003  Total U.S.-Mexican border  607,475  Total top 5 gateways  596,773  Laredo, TX  313,244  Brownsville, TX  98,622  Eagle Pass, TX  88,329  El Paso, TX  50,893  Nogales, AZ  45,685",Rail Container,2003.0,Total U.S.-Mexican border,607475.0,Total top 5 gateways,596773.0,"Laredo, TX",313244.0,"Brownsville, TX",98622.0,"Eagle Pass, TX",88329.0,"El Paso, TX",50893.0,"Nogales, AZ",45685.0,"Rail Container  2004  Total U.S.-Mexican border  675,305  Total top 5 gateways  660,214  Laredo, TX  317,061  El Paso, TX  110,992  Brownsville, TX  97,803  Eagle Pass, TX  87,459  Nogales, AZ  46,899",Rail Container,2004.0,Total U.S.-Mexican border,675305.0,Total top 5 gateways,660214.0,"Laredo, TX",317061.0,"El Paso, TX",110992.0,"Brownsville, TX",97803.0,"Eagle Pass, TX",87459.0,"Nogales, AZ",46899.0,"Rail Container  2005  Total U.S.-Mexican border  728,559  Total top 5 gateways  710,238  Laredo, TX  316,402  El Paso, TX  143,741  Brownsville, TX  105,175  Eagle Pass, TX  98,089  Nogales, AZ  46,831",Rail Container,2005.0,Total U.S.-Mexican border,728559.0,Total top 5 gateways,710238.0,"Laredo, TX",316402.0,"El Paso, TX",143741.0,"Brownsville, TX",105175.0,"Eagle Pass, TX",98089.0,"Nogales, AZ",46831.0,"Rail Container  2006  Total U.S.-Mexican border  803,291  Total top 5 gateways  788,472  Laredo, TX  332,950  El Paso, TX  185,614  Eagle Pass, TX  112,521  Brownsville, TX  97,572  Nogales, AZ  59,815",Rail Container,2006.0,Total U.S.-Mexican border,803291.0,Total top 5 gateways,788472.0,"Laredo, TX",332950.0,"El Paso, TX",185614.0,"Eagle Pass, TX",112521.0,"Brownsville, TX",97572.0,"Nogales, AZ",59815.0,"Rail Container  2007  Total U.S.-Mexican border  813,511  Total top 5 gateways  797,481  Laredo, TX  341,856  El Paso, TX  179,076  Eagle Pass, TX  134,041  Brownsville, TX  90,139  Nogales, AZ  52,369",Rail Container,2007.0,Total U.S.-Mexican border,813511.0,Total top 5 gateways,797481.0,"Laredo, TX",341856.0,"El Paso, TX",179076.0,"Eagle Pass, TX",134041.0,"Brownsville, TX",90139.0,"Nogales, AZ",52369.0,"Rail Container  2008  Total U.S.-Mexican border  776,385  Total top 5 gateways  762,740  Laredo, TX  328,592  El Paso, TX  160,795  Eagle Pass, TX  142,377  Brownsville, TX  75,419  Nogales, AZ  55,557",Rail Container,2008.0,Total U.S.-Mexican border,776385.0,Total top 5 gateways,762740.0,"Laredo, TX",328592.0,"El Paso, TX",160795.0,"Eagle Pass, TX",142377.0,"Brownsville, TX",75419.0,"Nogales, AZ",55557.0
57,Rail Container,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Total U.S.-Mexican border,602322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Total top 5 gateways,591255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Laredo, TX",296782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Eagle Pass, TX",98236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Brownsville, TX",96591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Nogales, AZ",52236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"El Paso, TX",47410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Rail Container,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Total U.S.-Mexican border,607475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
