,Unnamed: 0,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
0,"Number of truck registrations, total",11914249,4586487,5790653,6195876,6587885,6719421,7012615,7083326,7732270,7791426,8022649,7857675,7927280,7756888,8171363,8481999,8819007,9027624
1,Single-unit  truck,U,3681405,4373784,4486981,4906385,5023670,5266029,5293358,5734925,5762864,5926030,5703501,5650619,5848523,6161028,6395240,6649337,6806630
2,Combination  truck,U,905082,1416869,1708895,1681500,1695751,1746586,1789968,1997345,2028562,2096619,2154174,2276661,1908365,2010335,2086759,2169670,2220995
3,Number  of employees,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,"Trucking  and courier services, except air (based on SIC)",U,998500,1182000,1273900,1384200,1440000,1482100,1514200,1568800,1613700,1630500,1619800,1590000,U,U,U,U,U
5,Truck  transportation (based on NAICS),U,U,U,1122400,1206200,1249100,1282400,1308200,1354400,1391500,1405800,1386800,1339300,1325600,1351700,1397600,1435800,1439200
6,Couriers  and messengers (based on NAICS),U,U,U,375000,466200,516800,539900,546000,568200,585900,605000,587000,560900,561700,556600,571400,582400,580700
7,Truck drivers and sales workersc (based on NAICS),U,U,U,U,U,U,U,U,U,U,U,U,2867530,2869770,2899010,2963550,3012220,2998850
8,Number  of trucking and courier establishmentsa,U,64756,69796,90709,108971,112887,116861,121111,119572,120687,122713,122669,124481,125744,128121,131086,134053,135264
