,Rail Container,2005
0,Total U.S.-Mexican border,728559
1,Total top 5 gateways,710238
2,"Laredo, TX",316402
3,"El Paso, TX",143741
4,"Brownsville, TX",105175
5,"Eagle Pass, TX",98089
6,"Nogales, AZ",46831
