,Truck Container,2004
0,Total U.S.-Mexican border,4512900
1,Total top 5 gateways,3621641
2,"Laredo, TX",1387648
3,"Otay Mesa/San Ysidro, CA",726166
4,"El Paso, TX",717245
5,"Hidalgo, TX",453222
6,"Calexico East, CA",337360
