,Buses – top 5 gateways,2003
0,"Buffalo-Niagara Falls, NY",43358
1,"Detroit, MI",36177
2,"Sault Ste. Marie, MI",15760
3,"Blaine, WA",12865
4,"Champlain-Rouses Point, NY",11290
