,Rail Container,2007
0,Total U.S.-Mexican border,813511
1,Total top 5 gateways,797481
2,"Laredo, TX",341856
3,"El Paso, TX",179076
4,"Eagle Pass, TX",134041
5,"Brownsville, TX",90139
6,"Nogales, AZ",52369
