,Rail Container,2014
0,Total U.S.-Canadian border,2354853
1,Total top 5 gateways,1668116
2,"International Falls, MN",614144
3,"Port Huron, MI",478538
4,"Portal, ND",274528
5,"Detroit, MI",162813
6,"Blaine, WA",138093
