,Personal vehicle passengers – top 5 gateways,2010
0,"Buffalo-Niagara Falls, NY",11917742
1,"Detroit, MI",7217693
2,"Blaine, WA",6996337
3,"Port Huron, MI",3442631
4,"Champlain-Rouses Point, NY",2238864
