,Personal vehicle passengers ─ top 5 gateways,2009
0,"San Ysidro, CA",23934882
1,"El Paso, TX",18377270
2,"Laredo, TX",12729210
3,"Hidalgo, TX",12073543
4,"Brownsville, TX",11156688
