,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Freight,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Air carrier,U,U,U,U,U,U,U,1307,1496,1478,1580,1555,1441,1115,1105,1055,1077,720,1204,1197,1241,1218,1218,1220,1246,1162,1157,1150,1174,1153,1161
2,Class I rail,461,503,515,541,616,665,726,751,763,794,817,843,842,851,835,835,843,858,853,862,902,893,906,913,919,918,914,917,973,990,1006
3,Coastwise (water),1496,1501,1509,1362,1915,1972,1605,1705,1762,1650,1652,1652,1526,1330,1261,1279,1251,1228,1219,1248,1269,1233,1126,1108,1116,1170,1169,1119,1032,993,1000
4,Lakewise (water),522,494,506,530,536,524,553,535,519,514,508,514,508,507,505,501,506,509,529,529,538,540,548,543,556,530,563,558,568,570,564
5,Internal (water),282,297,330,358,405,435,470,483,479,467,482,494,477,466,472,488,481,476,483,457,454,440,446,437,443,469,465,486,475,444,469
6,Intraport (water),U,U,U,16,17,15,13,13,12,12,16,16,17,15,15,15,16,15,15,15,16,17,17,17,16,24,16,16,16,15,16
7,Crude (oil pipeline),325,320,300,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
8,Petroleum products (oil pipeline),269,335,357,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
9,Passenger,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
10,"Air carrier, domestic, scheduled",583,614,678,698,736,758,803,806,806,799,787,791,802,817,812,824,834,845,852,845,862,866,873,872,872,872,878,883,885,895,898
11,Commuter rail,U,U,U,U,23,24,22,23,23,22,24,24,24,23,23,22,23,23,23,23,23,22,23,24,23,24,23,25,24,25,24
12,Amtraka,N,N,N,236,216,231,273,285,286,280,279,268,256,256,251,248,244,237,234,231,219,215,220,218,215,217,220,213,218,218,218
