,Train passengers – top 5 gateways,2012
0,"Skagway, AK",74844
1,"Blaine, WA",64175
2,"Champlain-Rouses Point, NY",49498
3,"Buffalo-Niagara Falls, NY",27009
4,"Detroit, MI",9122
