,"Truck  2002  Total U.S.-Canadian border  6,915,973  Total top 5 gateways  4,567,704  Detroit, MI  1,670,565  Buffalo-Niagara, NY  1,208,095  Port Huron, MI  907,729  Blaine, WA  410,256  Champlain-Rouses Point, NY  371,059",Truck,2002,Total U.S.-Canadian border,"6,915,973",Total top 5 gateways,"4,567,704","Detroit, MI","1,670,565","Buffalo-Niagara, NY","1,208,095","Port Huron, MI","907,729","Blaine, WA","410,256","Champlain-Rouses Point, NY","371,059","Truck  2003  Total U.S.-Canadian border  6,735,737  Total top 5 gateways  4,478,405  Detroit, MI  1,634,319  Buffalo-Niagara, NY  1,162,961  Port Huron, MI  928,074  Champlain-Rouse Pt., NY  387,962  Blaine, WA  365,089",Truck.1,2003,Total U.S.-Canadian border.1,"6,735,737",Total top 5 gateways.1,"4,478,405","Detroit, MI.1","1,634,319","Buffalo-Niagara, NY.1","1,162,961","Port Huron, MI.1","928,074","Champlain-Rouse Pt., NY","387,962","Blaine, WA.1","365,089","Truck  2004  Total U.S.-Canadian border  6,903,882  Total top 5 gateways  4,591,686  Detroit, MI  1,701,452  Buffalo-Niagara, NY  1,175,254  Port Huron, MI  945,962  Champlain-Rouse Pt., NY  397,317  Blaine, WA  371,701",Truck.2,2004,Total U.S.-Canadian border.2,"6,903,882",Total top 5 gateways.2,"4,591,686","Detroit, MI.2","1,701,452","Buffalo-Niagara, NY.2","1,175,254","Port Huron, MI.2","945,962","Champlain-Rouse Pt., NY.1","397,317","Blaine, WA.2","371,701","Truck  2005  Total U.S.-Canadian border  6,783,944  Total top 5 gateways  4,553,263  Detroit, MI  1,745,318  Buffalo-Niagara, NY  1,142,411  Port Huron, MI  922,401  Champlain-Rouse Pt., NY  388,869  Blaine, WA  354,264",Truck.3,2005,Total U.S.-Canadian border.3,"6,783,944",Total top 5 gateways.3,"4,553,263","Detroit, MI.3","1,745,318","Buffalo-Niagara, NY.3","1,142,411","Port Huron, MI.3","922,401","Champlain-Rouse Pt., NY.2","388,869","Blaine, WA.3","354,264","Truck  2006  Total U.S.-Canadian border  6,649,249  Total top 5 gateways  4,499,055  Detroit, MI  1,770,008  Buffalo-Niagara, NY  1,117,789  Port Huron, MI  835,927  Champlain-Rouse Pt., NY  409,372  Blaine, WA  365,959",Truck.4,2006,Total U.S.-Canadian border.4,"6,649,249",Total top 5 gateways.4,"4,499,055","Detroit, MI.4","1,770,008","Buffalo-Niagara, NY.4","1,117,789","Port Huron, MI.4","835,927","Champlain-Rouse Pt., NY.3","409,372","Blaine, WA.4","365,959","Truck  2007  Total U.S.-Canadian border  6,477,761  Total top 5 gateways  4,375,717  Detroit, MI  1,773,465  Buffalo-Niagara, NY  1,088,438  Port Huron, MI  770,282  Champlain-Rouse Pt., NY  387,033  Blaine, WA  356,499",Truck.5,2007,Total U.S.-Canadian border.5,"6,477,761",Total top 5 gateways.5,"4,375,717","Detroit, MI.5","1,773,465","Buffalo-Niagara, NY.5","1,088,438","Port Huron, MI.5","770,282","Champlain-Rouse Pt., NY.4","387,033","Blaine, WA.5","356,499","Truck  2008  Total U.S.-Canadian border  5,894,551  Total top 5 gateways  3,920,345  Detroit, MI  1,510,487  Buffalo-Niagara, NY  981,329  Port Huron, MI  732,422  Champlain-Rouse Pt., NY  364,912  Blaine, WA  331,195",Truck.6,2008,Total U.S.-Canadian border.6,"5,894,551",Total top 5 gateways.6,"3,920,345","Detroit, MI.6","1,510,487","Buffalo-Niagara, NY.6","981,329","Port Huron, MI.6","732,422","Champlain-Rouse Pt., NY.5","364,912","Blaine, WA.6","331,195"
13,"Port Huron, MI",928074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Champlain-Rouse Pt., NY",387962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Blaine, WA",365089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Truck,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Total U.S.-Canadian border,6903882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Total top 5 gateways,4591686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Detroit, MI",1701452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Buffalo-Niagara, NY",1175254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Port Huron, MI",945962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Champlain-Rouse Pt., NY",397317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Blaine, WA",371701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Truck,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Total U.S.-Canadian border,6783944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Total top 5 gateways,4553263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Detroit, MI",1745318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Buffalo-Niagara, NY",1142411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Port Huron, MI",922401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Champlain-Rouse Pt., NY",388869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Blaine, WA",354264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Truck,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Total U.S.-Canadian border,6649249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Total top 5 gateways,4499055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Detroit, MI",1770008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Buffalo-Niagara, NY",1117789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Port Huron, MI",835927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Champlain-Rouse Pt., NY",409372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Blaine, WA",365959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Truck,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Total U.S.-Canadian border,6477761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Total top 5 gateways,4375717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Detroit, MI",1773465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Buffalo-Niagara, NY",1088438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Port Huron, MI",770282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Champlain-Rouse Pt., NY",387033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Blaine, WA",356499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Truck,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Total U.S.-Canadian border,5894551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Total top 5 gateways,3920345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Detroit, MI",1510487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Buffalo-Niagara, NY",981329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Port Huron, MI",732422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Champlain-Rouse Pt., NY",364912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Blaine, WA",331195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Train  2002  Total U.S.-Canadian border  32,822  Total top 5 gateways  18,920  Port Huron, MI  4,707  Detroit, MI  4,278  International Falls, MN  3,662  Buffalo-Niagara, NY  3,320  Warroad, MN  2,953",Train,2002.0,Total U.S.-Canadian border,32822.0,Total top 5 gateways,18920.0,"Port Huron, MI",4707.0,"Detroit, MI",4278.0,"International Falls, MN",3662.0,"Buffalo-Niagara, NY",3320.0,"Warroad, MN",2953.0,"Train  2003  Total U.S.-Canadian border  34,137  Total top 5 gateways  19,646  Port Huron, MI  5,447  Detroit, MI  4,246  International Falls, MN  3,928  Warroad, MN  3,062  Buffalo-Niagara, NY  2,963",Train,2003.0,Total U.S.-Canadian border,34137.0,Total top 5 gateways,19646.0,"Port Huron, MI",5447.0,"Detroit, MI",4246.0,"International Falls, MN",3928.0,"Warroad, MN",3062.0,"Buffalo-Niagara, NY",2963.0,"Train  2004  Total U.S.-Canadian border  33,267  Total top 5 gateways  18,564  Port Huron, MI  5,276  Detroit, MI  3,936  International Falls, MN  3,720  Buffalo-Niagara, NY  2,976  Warroad, MN  2,656",Train,2004.0,Total U.S.-Canadian border,33267.0,Total top 5 gateways,18564.0,"Port Huron, MI",5276.0,"Detroit, MI",3936.0,"International Falls, MN",3720.0,"Buffalo-Niagara, NY",2976.0,"Warroad, MN",2656.0,"Train  2005  Total U.S.-Canadian border  32,807  Total top 5 gateways  19,129  Port Huron, MI  6,344  International Falls, MN  3,980  Detroit, MI  3,602  Buffalo-Niagara, NY  2,918  Warroad, MN  2,285",Train,2005.0,Total U.S.-Canadian border,32807.0,Total top 5 gateways,19129.0,"Port Huron, MI",6344.0,"International Falls, MN",3980.0,"Detroit, MI",3602.0,"Buffalo-Niagara, NY",2918.0,"Warroad, MN",2285.0,"Train  2006  Total U.S.-Canadian border  32,526  Total top 5 gateways  17,662  Port Huron, MI  4,439  International Falls, MN  4,259  Detroit, MI  3,610  Buffalo-Niagara, NY  2,807  Warroad, MN  2,547",Train,2006.0,Total U.S.-Canadian border,32526.0,Total top 5 gateways,17662.0,"Port Huron, MI",4439.0,"International Falls, MN",4259.0,"Detroit, MI",3610.0,"Buffalo-Niagara, NY",2807.0,"Warroad, MN",2547.0,"Train  2007  Total U.S.-Canadian border  30,362  Total top 5 gateways  17,240  Port Huron, MI  4,459  International Falls, MN  4,026  Detroit, MI  3,546  Warroad, MN  2,640  Buffalo-Niagara, NY  2,569",Train,2007.0,Total U.S.-Canadian border,30362.0,Total top 5 gateways,17240.0,"Port Huron, MI",4459.0,"International Falls, MN",4026.0,"Detroit, MI",3546.0,"Warroad, MN",2640.0,"Buffalo-Niagara, NY",2569.0,"Train  2008  Total U.S.-Canadian border  29,780  Total top 5 gateways  16,677  International Falls, MN  4,136  Port Huron, MI  4,061  Detroit, MI  3,135  Warroad, MN  2,879  Buffalo-Niagara, NY  2,466",Train,2008.0,Total U.S.-Canadian border,29780.0,Total top 5 gateways,16677.0,"International Falls, MN",4136.0,"Port Huron, MI",4061.0,"Detroit, MI",3135.0,"Warroad, MN",2879.0,"Buffalo-Niagara, NY",2466.0
57,Train,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Total U.S.-Canadian border,32822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Total top 5 gateways,18920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Port Huron, MI",4707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Detroit, MI",4278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"International Falls, MN",3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Buffalo-Niagara, NY",3320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Warroad, MN",2953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Train,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Total U.S.-Canadian border,34137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
