,Personal vehicles – top 5 gateways,2005
0,"Detroit, MI",6035004
1,"Buffalo-Niagara Falls, NY",6034398
2,"Blaine, WA",2482065
3,"Port Huron, MI",1953413
4,"Calais, ME",1174011
