,Rail Container,2014
0,Total U.S.-Mexican border,909993
1,Total top 5 gateways,899756
2,"Laredo, TX",405076
3,"Eagle Pass, TX",254327
4,"El Paso, TX",99295
5,"Nogales, AZ",75765
6,"Brownsville, TX",65293
