,Rail Container,2011
0,Total U.S.-Canadian border,1926376
1,Total top 5 gateways,1358670
2,"International Falls, MN",394628
3,"Port Huron, MI",391482
4,"Detroit, MI",217204
5,"Portal, ND",190512
6,"Blaine, WA",164844
