,Rail Container,2012
0,Total U.S.-Canadian border,2147187
1,Total top 5 gateways,1520677
2,"International Falls, MN",500164
3,"Port Huron, MI",397670
4,"Portal, ND",238942
5,"Detroit, MI",218786
6,"Blaine, WA",165115
