,Truck,2015
0,Total U.S.-Canadian border,5791021
1,Total top 5 gateways,3974888
2,"Detroit, MI",1544702
3,"Buffalo-Niagara, NY",947230
4,"Port Huron, MI",801272
5,"Blaine, WA",378747
6,"Champlain-Rouse Pt., NY",302937
