,Â,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,2014
0,All industries,35510,37049,39238,40215,40963,42295,44222,45594,47658,49768,51239,51579,53247,54702,56094,56628,57534
1,Transportation and warehousing,35965,37426,39055,39944,40665,41483,43230,43810,45344,47195,47884,48019,49710,51175,52370,53337,60180
2,Air,48919,50879,53231,56184,58169,57660,59089,56759,59274,63544,62657,62283,65776,69400,70484,77890,88819
3,Rail,59766,61287,63353,63710,64493,67273,71121,72237,74529,77581,83615,81558,80710,83331,88909,85986,97101
4,Water,48450,50407,51516,55330,57237,58486,62066,62886,66463,74778,75498,76861,78565,82480,82976,84364,96971
5,Truck,33686,34864,36030,36503,37265,38216,39973,41285,42818,43916,44516,43800,45548,46872,47817,48868,55947
6,Transit and ground passenger transportation,21840,22801,23827,24346,24733,25199,26604,26955,28384,29288,29734,30027,30974,31994,32545,32743,36909
7,Pipeline,64305,71789,96662,100547,82094,84011,89342,88928,97928,105628,104942,108085,112648,119091,137264,124302,137827
8,Other transportation and support activitiesb,32605,34489,35823,36204,37689,39098,41387,42465,44047,45747,46488,47383,49161,49987,51021,51911,57943
9,Warehousing and storage,31317,32307,33623,34182,35190,36624,37955,38861,39491,41007,41717,43069,44188,44972,45424,45684,51211
