,Bus passengers – top 5 gateways,2009
0,"Buffalo-Niagara Falls, NY",883448
1,"Blaine, WA",323333
2,"Detroit, MI",297787
3,"Champlain-Rouses Point, NY",282949
4,"Skagway, AK",161255
