,Buses – top 5 gateways,2011
0,"Detroit, MI",27708
1,"Buffalo-Niagara Falls, NY",25731
2,"Blaine, WA",15502
3,"Skagway, AK",10540
4,"Champlain-Rouses Point, NY",9544
