,Rail Container,2012
0,Total U.S.-Mexican border,827763
1,Total top 5 gateways,817241
2,"Laredo, TX",399839
3,"Eagle Pass, TX",207895
4,"El Paso, TX",94089
5,"Nogales, AZ",61395
6,"Brownsville, TX",54023
