,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,TOTAL freight,1099.9,1272.9,1531.7,1695.0,1998.9,1788.4,2163.9,2092.1,2132.1,2128.2,2214.8,2240.4,2284.1,2333.1,2339.5,2322.6,2424.6,2393.3,2340.3,2394.3,2551.9,2527.6,2588.4,2564.0,2477.1,2210.8,2334.4,2367.5,2306.8,2274.8,2345.8
1,Foreign,339.3,443.7,581.0,748.7,921.4,774.3,1041.6,1013.6,1037.5,1060.0,1115.7,1147.4,1183.4,1220.6,1245.4,1260.8,1354.8,1350.8,1319.3,1378.1,1504.9,1498.7,1564.9,1542.5,1520.8,1353.7,1440.9,1479.6,1421.9,1383.6,1408.7
2,Imports,211.3,269.8,339.3,476.6,517.5,412.7,600.0,555.4,586.7,648.8,719.5,672.7,732.6,788.3,840.7,860.8,939.7,951.8,934.9,1004.8,1089.1,1096.9,1130.9,1075.7,998.7,858.9,883.1,869.1,804.5,758.7,760.9
3,Exports,128.0,173.9,241.6,272.1,403.9,361.6,441.6,458.2,450.8,411.3,396.2,474.7,450.8,432.3,404.7,400.0,415.0,399.0,384.3,373.3,415.8,401.8,434.0,466.8,522.1,494.8,557.8,610.4,617.4,624.9,647.8
4,Domestic,760.6,829.2,950.7,946.3,1077.5,1014.1,1122.3,1078.5,1094.6,1068.2,1099.0,1093.0,1100.7,1112.5,1094.1,1061.8,1069.8,1042.5,1021.0,1016.1,1047.1,1028.9,1023.5,1021.5,956.3,857.1,893.5,887.9,884.9,891.2,937.1
5,Inland,291.1,369.6,472.1,503.9,535.0,534.7,622.6,600.4,621.0,607.3,618.4,620.3,622.1,630.6,625.0,624.6,628.4,619.8,608.0,609.6,626.2,624.0,627.6,621.9,588.5,522.5,565.6,553.6,565.0,566.7,599.4
6,Coastal,209.2,201.5,238.4,231.9,329.6,309.8,298.6,294.5,285.1,271.7,277.0,266.6,267.4,263.1,249.6,228.8,226.9,223.6,216.4,223.5,220.6,213.7,201.8,205.8,186.3,167.7,164.5,161.0,152.2,164.9,172.0
7,Great Lakes,155.1,153.7,157.1,129.3,115.1,92.0,110.2,103.4,107.4,109.9,114.8,116.1,114.9,122.7,122.2,113.9,114.4,100.0,101.5,89.8,103.5,96.2,96.9,95.6,90.4,63.2,80.5,87.9,84.4,85.4,87.9
8,Intraport,104.2,102.9,81.5,78.3,94.2,74.3,86.4,75.6,76.8,74.4,82.9,83.1,89.0,89.8,90.1,88.6,94.6,93.2,90.0,86.9,91.3,90.2,91.4,93.1,86.9,99.0,78.3,81.3,81.0,72.9,76.5
9,Intraterritory,1.0,1.5,1.6,2.9,3.6,3.4,4.5,4.6,4.2,5.0,5.9,6.9,7.3,6.3,7.2,5.9,5.5,5.9,5.1,6.4,5.5,4.9,5.8,5.1,4.2,4.7,4.6,4.2,2.3,1.3,1.3
