,Truck,2014
0,Total U.S.-Canadian border,5802211
1,Total top 5 gateways,3947685
2,"Detroit, MI",1554152
3,"Buffalo-Niagara, NY",962076
4,"Port Huron, MI",778268
5,"Blaine, WA",367994
6,"Champlain-Rouse Pt., NY",285195
