,Personal vehicle passengers – top 5 gateways,2013
0,"Buffalo-Niagara Falls, NY",12553685
1,"Blaine, WA",9736188
2,"Detroit, MI",7315039
3,"Port Huron, MI",4018331
4,"Champlain-Rouses Point, NY",2635060
