,Â,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,TOTAL urban and rural mileage,3866926,3883920,3901081,3905211,3906595,3912226,3919652,3945872,3906292,3917243,3936222,3948335,3966486,3974107,3981512,3995635,4016741,4032126,4042778,4050717,4067076,4077756,4092730,4115462,4177073
1,"Urban mileage, total",744644,749862,785066,805877,813785,819706,826765,836740,841643,846085,852243,877004,894725,940969,981276,1009839,1029366,1044368,1065556,1081371,1089700,1095373,1113018,1177986,1201719
2,"Principal arterials, Interstates",11527,11602,12516,12877,13126,13164,13217,13247,13276,13343,13379,13411,13491,14460,15129,15703,16044,16312,16555,16578,16682,16704,16910,17896,18567
3,"Principal arterials, other freeways, and expressways",7668,7709,8491,8841,8994,8970,9027,9063,9163,9132,9140,9121,9323,9870,10246,10560,10748,10913,11335,11399,11319,11495,11469,11602,11784
4,"Principal arterials, other",51968,52515,51900,52708,53110,52796,52983,53223,53132,53199,53314,53056,53439,56870,59695,61803,62830,63282,64557,64524,65105,64982,65193,66510,66761
5,Minor arterials,74659,74795,80815,86821,87857,88510,89020,89185,89496,89432,89789,89962,90411,93888,97433,101673,102975,104033,106172,108958,107366,107292,108328,111028,112288
6,Major collectors,78254,77102,82784,84854,86089,87331,87790,88049,88071,88005,88200,88713,89247,97114,102150,106109,108833,109555,113848,114608,114450,114456,115698,121389,127809
7,Minor collectors,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,79,3146,3304,3588,5112,11754
8,Local,520568,526139,548560,559776,564609,568935,574728,583973,588505,592974,598421,622741,638814,668767,696623,713991,727936,740273,753089,765224,771632,777142,791832,844448,852755
9,"Rural mileage, total",3122282,3134058,3116015,3099334,3092810,3092520,3092887,3109132,3064649,3071158,3083979,3071331,3071761,3033138,3000236,2985796,2987375,2987758,2977222,2969346,2977376,2982383,2979711,2937476,2975354
10,"Principal arterials, Interstates",33547,33677,32951,32631,32457,32580,32820,32817,32808,32974,33048,33061,32992,32048,31443,30905,30586,30360,30196,30142,30218,30256,30522,29678,29095
11,"Principal arterials, Freeways and Expressways",U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,888,3299,4224,4395,4842,5466
12,"Principal arterials, other",83802,86747,94947,96770,97175,97948,98131,98257,98858,98838,98919,99185,98853,97038,95946,95156,94937,94766,94949,94051,92089,91280,91420,90405,90272
13,Minor arterials,144774,141795,137685,137577,138120,137151,137359,137497,137308,137462,137575,137587,137568,135596,135449,135408,135386,135296,135024,135115,135450,135650,135097,132845,132672
14,Major collectors,436352,436746,434072,432222,431115,431712,432117,432714,432408,432934,433121,433284,430946,424288,420046,419999,419117,419437,418229,415851,418604,420136,419109,414816,410287
15,Minor collectors,293922,293511,284504,282182,282011,274081,273198,272362,272140,271676,271803,271377,270700,267524,267842,264387,262841,262899,262607,262710,263026,263053,262190,262490,258513
16,Local,2129885,2141582,2131856,2117952,2111932,2119048,2119262,2135485,2091127,2097274,2109513,2096837,2100702,2076644,2049510,2039941,2044508,2045000,2036217,2030589,2034690,2037783,2036976,2002399,2049049
